abandon,"vt.放弃,遗弃;n.放任,狂热"
grip,"vt.紧握,紧夹;n.掌握,控制,把手;v.抓住"
hut,"n.小屋,棚屋"
frequency,"n.频率,周率,发生次数"
grocer,"n.食品商,杂货店"
hydrogen,n.氢
frequent,"adj.时常发生的,频繁的"
gross,"adj.总的,毛重的;n.总额"
ideal,"n.理想;adj.理想的,完美的,想象的,观念的,唯心论的"
frog,n.青蛙;vi.捕蛙
growth,"n.生长,种植,栽培,发育,等比级数"
identical,"adj.同一的,同样的"
frontier,"n.国境,边疆,边境"
guarantee,"n.保证,保证书,担保,抵押品;vt.保证,担保"
identify,"vt.识别,鉴别,把...和...看成一样;v.确定"
frost,"n.霜,霜冻,严寒;v.结霜"
guidance,"n.指导,领导"
identity,"n.同一性,身份,一致,特性,恒等式"
frown,"vi.皱眉,蹙额,不赞成,反对;v.皱眉"
guideline,n.方针
idle,"adj.空闲的,懒惰的,停顿的,无用的;vi.不做事,游手好闲,(机器)空转,虚度,不作事,游手好闲,浪费;vt.虚度,使空闲,使空转"
fruitful,"adj.果实结得多的,多产的,富有成效的"
guilty,"adj.犯罪的,有罪的,心虚的"
ignorance,"n.无知,不知"
frustrate,"v.挫败,阻挠,使感到灰心,阻止"
guitar,"n.吉他,六弦琴;vi.弹吉他"
ignorant,adj.无知的
fry,"n.油炸食物,油炸锅,鱼苗,鱼秧;v.油炸,油煎"
gulf,"n.海湾,深渊,漩涡,隔阂;vt.吞没,使深深卷入"
ignore,"vt.不理睬,忽视,[律](因证据不足而)驳回诉讼"
fuel,"n.燃料;vt.加燃料,供以燃料;vi.得到燃料"
gum,"n.齿龈,树脂,橡胶,橡胶树,口香糖,香口胶,泡泡糖"
illegal,"adj.违法的,不合规定的"
fulfil,"vt.实践,履行,实行,结束,满足,完成,达到"
guy,"n.家伙,人"
illustrate,"vt.举例说明,图解,加插图于,阐明;vi.举例"
fulfill,"vt.履行,实现,完成(计划等)"
gym,"gymnasium体育;n.体育馆,体操"
illustration,"n.说明,例证,例子,图表,插图,图解"
function,"n.官能,功能,作用,职责,典礼,仪式,[数]函数;vi.(器官等)活动,运行,行使职责"
gymnasium,"n.健身房,体育馆"
image,"n.图象,肖像,偶像,形象化的比喻,极为相象,映像,典型;vt.想象,作...的像,反映,象征"
fund,"n.资金,基金;v.支助,投资"
halt,"n.停止,暂停,中断;vt.使停止,使立定;vi.立定,停止,踌躇,有缺点"
imaginary,"adj.假想的,想象的,虚构的"
fundamental,"adj.基础的,基本的;n.基本原则,基本原理"
hammer,"n.铁锤,槌,锤子;v.锤击,锤打"
imagination,"n.想象,空想,想象的事物,想象力,听觉"
funeral,"n.葬礼,出殡"
handbag,n.手提包
imitate,"vt.模仿,仿效,仿制,仿造;v.模仿"
fur,"n.毛皮,毛,软毛"
handful,"n.一把,少数"
immediately,"adv.立即,马上,直接地"
furnace,"n.炉子,熔炉"
handle,"n.柄,把手,把柄,口实,手感;vt.触摸,运用,买卖,处理,操作;vi.搬运,易于操纵;n.[计]句柄"
immense,"adj.极广大的,无边的,<口>非常好的"
furnish,"vt.供应,提供,装备,布置;v.供给"
handwriting,"n.笔迹,书写体,书法,笔势"
immigrant,"adj.(从外国)移来的,移民的,移居的;n.移民,侨民"
furniture,"n.家具,设备,储藏物"
handy,"adj.手边的,就近的,唾手可得的,便利的,敏捷的,容易取得的"
impact,"n.碰撞,冲击,冲突,影响,效果;vt.挤入,撞击,压紧,对...发生影响"
furthermore,"adv.此外,而且"
happen,"vi.发生,碰巧,偶然;v.发生,恰巧,偶然发现"
impatient,"adj.不耐烦的,急躁的,不耐心的"
fuss,"n.忙乱,大惊小怪,大惊小怪的人;v.忙乱,大惊小怪"
harbour,n.(=harbor)海港
implement,"n.工具,器具;vt.贯彻,实现;v.执行"
gallery,"n.走廊、戏院、教堂等中最高的楼座,美术陈列室,画廊,图库"
harden,"vt.使变硬,使坚强,使冷酷;vi.变硬,变冷酷,涨价"
implication,"n.牵连,含意,暗示"
gallon,n.加仑
hardship,"n.困苦,艰难,辛苦"
imply,"vt.暗示,意味"
gang,"n.(一)伙,(一)群"
hardware,"n.五金器具,(电脑的)硬件,(电子仪器的)部件"
import,"n.进口货(常用复数),进口,输入,意思,重要性;vt.输入,进口,含...的意思,重要,引入;vi.有关系,有重要性"
gaol,"n.(<英>=jail)监狱,拘留所;vt.监禁"
harm,"vt.伤害,损害;n.伤害,损害"
impose,"vt.征税,强加,以...欺骗;vi.利用,欺骗,施影响"
gap,"n.缺口,裂口,间隙,缝隙,差距,隔阂"
harmony,"n.协调,融洽"
impress,"vt.印,盖印,留下印象"
garbage,"n.垃圾,废物"
harness,"n.(全套)马具,系在身上的绳子,甲胄;vt.上马具,披上甲胄,利用(河流、瀑布等)产生动力(尤指电力)"
impression,"n.印象,感想,盖印,压痕"
gardener,n.园丁
harsh,"adj.粗糙的,荒芜的,苛刻的,刺耳的,刺目的"
impressive,"adj.给人深刻印象的,感人的"
garlic,"n.[植]大蒜,(Akkuynsadtium),蒜头"
haste,"n.匆忙,急忙"
improve,"v.改善,改进"
gasoline,n.汽油
hatred,"n.憎恨,乱意,仇恨"
improvement,"n.改进,进步"
gaze,"v.盯,凝视;n.凝视"
hay,n.干草
incident,"n.事件,事变;adj.附带的,易于发生的"
gear,"n.齿轮,传动装置;v.调整,(使)适合,换档"
hazard,"n.冒险,危险,冒险的事;vt.冒...的危险,赌运气,使遭危险"
incline,"n.倾斜,斜坡,斜面;vt.使倾向于,使倾斜;vi.倾向,倾斜"
gene,"n.[遗传]因子,[遗传]基因"
heading,n.标题
include,"vt.包括,包含"
generally,"adv.一般,通常,一般地"
headline,n.大字标题
increasingly,"adv.日益,愈加"
generate,"vt.产生,发生"
headquarters,"n.司令部,指挥部,总部"
incredible,adj.<口>难以置信的
generator,"n.发电机,发生器"
heal,"v.治愈,医治,结束"
independence,"n.独立,自主"
generous,"adj.慷慨的,大方的,有雅量的"
heap,"n.堆,大量,许多;vt.堆,堆起;v.堆积"
independent,"n.中立派,无党派者;adj.独立自主的,不受约束的"
genius,"n.天才,天赋,天才人物"
hearing,"n.听力,听觉,听取意见,听讼;v.倾听"
index,"n.索引,[数学]指数,指标,(刻度盘上)指针;vt.编入索引中,指出;vi.做索引"
genuine,"adj.真实的,真正的,诚恳的"
heave,v.举起;n.举起
indicate,"vt.指出,显示,象征,预示,需要,简要地说明"
geometry,n.几何学
hedge,"n.树篱,障碍物;v.用树篱围住,避免作正面答复"
indication,"n.指出,指示,迹象,暗示"
germ,"n.微生物,细菌"
heel,"n.脚后跟,踵,跟部"
indifferent,adj.无关紧要的
gesture,"n.姿态,手势,表示;v.作手势,以手势表示"
helicopter,"n.直升(飞)机,直升机"
indirect,"adj.间接的,迂回的"
ghost,"n.鬼,幽灵"
hell,"n.地狱,苦境,阴间,地狱中的人,训斥;vi.狂饮,飞驰;int.该死!"
indispensable,"n.不可缺少之物;adj.不可缺少的,绝对必要的"
giant,"n.巨人,大力士,巨大的动物或植物,伟人,天才;adj.庞大的,巨大的"
helpful,"adj.有帮助的,有用的,有益的"
individual,"n.个人,个体;adj.个别的,单独的,个人的"
given,"adj.赠予的,沉溺的,特定的,假设的;vbl.give的过去分词"
helpless,"adj.无助的,无能的,没用的"
indoor,"adj.户内的,室内的"
glance,"vi.扫视,匆匆一看;n.一瞥,眼光,匆匆一看"
hen,"n.母鸡,雌鸟"
industrial,"adj.工业的,产业的,实业的,从事工业的;n.工业工人,[商]工业股票"
glimpse,"n.一瞥,一看;v.瞥见"
hence,"adv.因此,从此"
industrialize,vt.使工业化;vi.工业化
global,"adj.球形的,全球的,全世界的"
herd,"n.兽群,牧群;v.把...赶在一起放牧,成群"
inevitable,"adj.不可避免的,必然的"
globe,"n.球体,地球仪,地球,世界"
heroic,"adj.英雄的,英勇的"
infant,"n.婴儿,幼儿;adj.婴儿的,幼稚的"
glorious,"adj.光荣的,显赫的"
hesitate,"v.犹豫,踌躇,不愿"
infect,"vt.[医]传染,感染"
glory,"n.荣誉,光荣"
highlight,"n.加亮区,精彩场面,最显著(重要)部分;vt.加亮,使显著,以强光照射,突出"
infer,v.推断
glove,n.手套;vt.戴手套
highly,"adv.高地,非常"
inference,n.推论
glow,"vi.发光,发热"
highway,"n.公路,大路"
inferior,"adj.下等的,下级的,差的,次的,自卑的,劣等的"
glue,"n.胶,胶水;vt.胶合,粘贴,粘合"
hint,"n.暗示,提示,线索"
infinite,"n.无限的东西(如空间、时间),[数]无穷大;adj.无穷的,无限的,无数的,极大的"
golf,n.高尔夫球;vi.打高尔夫球
hip,"n.臀,蔷薇果,忧郁;adj.熟悉内情的;vt.使忧郁,给（屋顶）造屋脊;int.喝彩声"
inflation,"n.胀大,夸张,通货膨胀,(物价)暴涨"
goodness,"n.仁慈,善良"
hire,"n.租金,工钱,租用,雇用;vt.雇请,出租;vi.受雇"
influence,"n.影响,感化,势力,有影响的人(或事),(电磁)感应;vt.影响,改变"
govern,"v.统治,支配,管理"
historic,"adj.历史上著名的,有历史性的"
influential,"adj.有影响的,有势力的"
governor,"n.统治者,管理者,地方长官,主管人员"
historical,"adj.历史(上)的,有关历史的"
inform,"v.(～of/about)通知,告诉,获悉,告知"
grab,"v.抢夺,攫取,夺取"
hobby,n.业余爱好
ingredient,"n.成分,因素"
grace,"n.优美,雅致,优雅"
hollow,"n.洞,窟窿,山谷;adj.空的,虚伪的,空腹的,凹的;adv.<口>彻底vi.形成空洞;vt.挖空,弄凹"
inhabitant,"n.居民,居住者"
graceful,adj.优美的
holy,"adj.神圣的,圣洁的;n.神圣的东西"
inherit,"vt.继承,遗传而得"
gradual,"adj.逐渐的,逐步的,渐进的"
honey,"n.(蜂)蜜,蜂蜜"
initial,"adj.最初的,词首的,初始的;n.词首大写字母"
graduate,"n.(大学)毕业生,研究生;v.(使)(大学)毕业"
honourable,"adj.可敬的,荣誉的,光荣的"
initiative,n.主动
grain,"n.谷物,谷类,谷粒,细粒,颗粒,粮食"
hook,"n.钩,吊钩;v.钩住,沉迷,上瘾"
injection,"n.注射,注射剂,(毛细血管等的)充血,(人造卫星,宇宙飞船等的)射入轨道"
gram,"n.克,[植]鹰嘴豆(用作饲料)"
hopeful,"adj.怀有希望的,有希望的"
injure,"vt.损害,伤害;v.伤害"
grammar,"n.文法,有关原理的书,入门的书"
hopeless,"adj.没有希望的,绝望的,不可救药"
injury,"n.伤害,侮辱"
gramme,n.克
horizon,"n.地平线;n.地平(线),(知识,思想等的)范围,视野"
inn,"n.(尤指乡村或公路边的)旅馆,客栈;vi.住旅馆"
inner,"adj.内部的,里面的,内心的;n.内部"
kettle,"n.壶,罐,釜,鼓"
lower,"adj.较低的,下级的,下等的,下游的;vi.降低,跌落,减弱;vt.放下,降下,减弱,贬低"
innocent,"adj.(～of)清白的,无罪的,天真的,无知的"
keyboard,n.[计]键盘
loyal,"adj.忠诚的,忠心的"
input,n.输入;v.输入
kid,"n.哄骗,取笑,开玩笑,小孩,小山羊;v.哄骗,取笑,开玩笑,欺骗"
loyalty,"n.忠诚,忠心"
inquire,"v.询问,问明,查究"
kindergarten,"n.幼儿园;adj.幼儿园的,初级的,启蒙阶段的"
lucky,"adj.幸运的,吉祥的,侥幸的"
inquiry,"n.质询,调查"
kindness,"n.仁慈,亲切,好意,善意"
luggage,"n.行李,皮箱"
insect,"n.昆虫,卑鄙的人;adj..虫的,虫子一样的,对付虫子的"
kingdom,"n.王国,[宗]天国,上帝的统治,领域"
lump,"n.块（尤指小块）,肿块,笨人;vt.使成块状,混在一起,忍耐,笨重地移动;vi.结块"
insert,"vt.插入,嵌入;n.插入物"
kneel,vi.跪下
lung,"n.肺,呼吸器,肺脏"
insight,"n.洞察力,见识"
knot,"n.(绳等的)结,(树的)节,节(船速,＝哩／小时);v.打结"
luxury,"n.奢侈,华贵"
insist,"v.坚持,强调"
label,"n.标签,签条,商标,标志;vt.贴标签于,指...为,分类,标注;[计]加上或修改磁盘的标签"
machinery,"n.[总称]机器,机械"
inspect,"vt.检查,视察;"
laboratory,n.实验室
magic,"n.魔法,巫术,戏法;adj.魔术的,有魔力的,不可思议的"
inspire,"vt.吸(气),鼓舞,感动,激发,启示,使生灵感,产生;vi.吸入,赋予灵感"
lad,"n.少年,青年男子,<口>伙计，家伙（呢称）"
magnet,"n.磁体,磁铁"
install,"vt.安装,安置,使就职"
lag,"n.落后,囚犯,迟延,桶板,防护套;adj.最后的;vi.缓缓而行,滞后;vt.落后于,押往监狱,加上外套"
magnetic,"adj.磁的,有磁性的,有吸引力的"
installation,"n.[计]安装,装置,就职"
lamb,"n.小羊,羔羊;v.生小羊"
magnificent,"adj.华丽的,高尚的,宏伟的"
instance,"n.实例,建议,要求,情况,场合;vt.举...为例,获得例证"
landlord,"n.房东,地主,(旅馆等的)老板"
maid,"n.少女,女仆"
instant,"adj.立即的,直接的,紧迫的,刻不容缓的,(食品)速溶的,方便的,即时的"
landscape,"n.风景,山水画,地形,前景;v.美化"
mainland,n.大陆
instead,"adv.代替,改为,抵作,更换"
lane,"n.（乡间）小路,巷,里弄,狭窄的通道,航线"
maintain,"vt.维持,维修,继续,供养,主张"
instinct,n.本能
lap,"n.(坐时的)大腿前部,膝盖,舔声,(水)溅泼声,重叠的部分,(跑道的)一圈,衣兜,下摆;vi.重叠,围住,轻拍,舔;vt.包围,抱...在膝上,使重叠,舔食,泼溅,拍打"
maintenance,"n.维护,保持,生活费用,扶养"
institute,"n.学会,学院,协会;vt.创立,开始,制定,开始(调查),提起(诉讼)"
largely,"adv.主要地,大量地,很大程度上"
major,"n.<美>[教]主修课,[律]成年人,[乐]大调;vi.主修"
institution,"n.公共机构,协会,制度"
laser,n.激光
majority,"n.多数,大半;n.[律]成年"
instruct,"vt.教,教导,命令,指示,通知"
latter,"adj.后面的,(两者中)后者的,较后的,近来的"
male,"adj.男的,雄的,男性"
instruction,"n.指示,用法说明(书),教育,指导,指令"
laughter,"n.笑,笑声"
management,"n.经营,管理,处理,操纵,驾驶,手段"
instrument,"n.工具,手段,器械,器具,手段"
launch,"n.下水,汽艇,发射,发行,投放市场;vt.使(船)下水,掷(标枪等),发射(导弹火箭等),开办,发动,发起;vi.起飞,下水,投入,开始"
mankind,"n.人类,男性,男子"
insult,"n.侮辱,凌辱;vt.侮辱,凌辱"
laundry,"n.洗衣店,要洗的衣服,洗熨"
manner,"n.礼貌,风格,方式,样式,习惯"
insurance,"n.保险,保险单,保险业,保险费"
lavatory,"n.厕所,<主英>抽水马桶,<美>洗脸盆,浴室"
manual,"n.手册,指南;adj.手的,手动的,手工的,体力的,手册(性质)的,[律]实际占有的"
insure,vt.给...保险;v.确保
lawn,"n.草地,草坪,(均匀生长于固体培养基的)菌苔"
manufacture,"vt.制造,加工;n.制造,制造业,产品"
integrate,"vt.使成整体,使一体化,求...的积分;v.结合"
layer,"n.层,阶层"
manufacturer,"n.制造业者,厂商"
intellectual,"adj.智力的,有智力的,显示智力的;n.知识分子"
layout,"n.规划,设计,(书刊等)编排,版面,配线,企划,设计图案,(工厂等的)布局图,版面设计"
margin,"n.页边的空白,(湖、池等的)边缘,极限,利润,差数,(时间、金额等的)富余;vt.加边于,加旁注于"
intelligence,"n.智力,聪明,智能"
leader,"n.领导者,社论;n.[计]前导字符;n.[机]导杆"
marine,"n.舰队,水兵,海运业;adj.海的,海产的,航海的,船舶的,海运的"
intelligent,"adj.聪明的,伶俐的,有才智的,[计]智能的"
leadership,"n.领导能力,领导阶层"
market,"n.市场,销路,行情;vt.在市场上交易,使上市;vi.在市场上买卖"
intend,"vt.想要,打算,意指,意谓"
leading,"adj.领导的,第一位的,最主要的"
marriage,"n.结婚,婚姻,婚姻生活,密切结合,合并"
intense,"adj.强烈的,剧烈的,热切的,热情的,激烈的"
leak,"n.漏洞,漏出,漏出物,泄漏,<俚>撒尿;vi.漏,泄漏;vt.使渗漏"
married,"adj.已婚的,婚姻的"
intensity,"n.强烈,剧烈,强度,亮度"
lean,"n.倾斜,倾斜度,倚靠,倾向;adj.瘦的,贫乏的,歉收的;vi.倚靠,倾斜,依赖,倾向,偏向;vt.使倾斜"
marry,"vt.娶,嫁,和...结婚"
intensive,"adj.强烈的,精深的,透彻的,[语法]加强语气的;n.加强器"
leap,"v.跳,跳越,跳跃;n.跳跃,飞跃"
marvelous,"adj.引起惊异的,不可思议的,非凡的"
intention,"n.意图,目的"
learned,"adj.有学问的,学术上的"
Marxist,adj.马克思主义的;n.马克思主义者
interaction,"n.交互作用,交感"
learning,"n.知识,学问,学习,学"
mask,"n.面具,掩饰,石膏面像;vt.戴面具,掩饰,使模糊;vi.化装,戴面具,掩饰,参加化装舞会"
interest,"n.兴趣,关心,重要性,影响,利息,利益,利害;vt.使发生兴趣,引起...的注意"
lease,"n.租借,租约,租赁物,租期,延续的一段时间;vt.出租,租出,租得"
mass,"n.块,大多数,质量,群众,大量;adj.群众的,大规模的,集中的;vt.使集合;vi.聚集"
interfere,"vi.干涉,干预,妨碍,打扰"
leather,"n.皮革,皮革制品"
massive,"adj.厚重的,大块的,魁伟的,结实的"
interference,"n.冲突,干涉"
legal,"adj.法律的,法定的,合法"
mat,"n.席子,垫子;v.铺席子"
interior,"adj.内部的,内的;n.内部"
legislation,"n.立法,法律的制定(或通过)"
mate,"n.配偶,对手,助手;vt.使配对,使一致,结伴;vi.成配偶,紧密配合"
intermediate,adj.中间的;n.媒介
leisure,"n.空闲,闲暇,悠闲,安逸"
material,"n.材料,原料,物资,素材,布料;adj.物质的,肉体的,具体的,重要的,实质性的"
internal,"adj.内在的,国内的"
lemon,n.柠檬;adj.柠檬色的
mathematical,"adj.数学的,精确的"
interpret,"v.解释,说明,口译,通译,认为是...的意思"
lens,"n.透镜,镜头"
mathematics,n.数学;
interpretation,"n.解释,阐明,口译,通译"
lest,"conj.唯恐,以免,免得,(用于fear,beafraid之后,等于that)"
mature,"adj.成熟的,到期的,充分考虑的,(票据等)到期的;vt.使成熟;vi.成熟,到期"
interrupt,"vt.打断(正在说话或动作的人),中断,妨碍,插嘴;vi.打断(别人讲话或行动);n.(发给电脑)中断信号"
liable,"adj.有责任的,有义务的,易...的,有...倾向的,负有责任的,很有可能的"
maximum,"n.最大量,最大限度,极大;adj.最高的,最多的,最大极限的"
interval,"n.间隔,距离,幕间休息;n.时间间隔"
liberal,"n.自由主义者,(尤指英国、加拿大等国的);adj.慷慨的,不拘泥的,宽大的,自由主义的"
mayor,n.市长
interview,"vt.接见,会见;n.接见,会见"
liberate,"v.解放,释放"
meaning,"n.意义,含意,意图,[逻]内涵;adj.意味深长的"
intimate,"adj.亲密的,隐私的;vt.宣布,明白表示;n.熟友"
liberty,"n.自由,特权,随意,冒失,冒昧,失礼"
means,"n.手段,方法;v.意味,想要"
introduction,"n.介绍,传入,初步,导言,绪论,入门"
librarian,"n.图书馆员,图书管理员"
meantime,"n.其间,其时;adv.其间"
invade,"vt.侵略,侵袭,拥挤"
license,"n.许可(证),执照;vt.许可,特许;v.许可"
meanwhile,"(=meantime)n.其间,其时;adv.其间"
invasion,n.入侵
lick,"n.舔,少许,打;vt.舔,卷过,鞭打,克服,征服;vi.轻轻拍打"
measure,"n.尺寸,量度器,量度标准,方法,测量,措施;vt.测量,测度,估量,分派,权衡,调节;vi.量"
invent,"vt.发明,创造;v.发明"
lid,"n.盖子,<美口>限制,眼睑;vt.给...盖盖子"
measurement,"n.测量法,度量,(量得的)尺寸,度量单位制"
invention,"n.发明,创造"
lightning,n.闪电;(“闪电”)英国第一种超音速喷气式战斗机，英60年代的主力机种。
mechanic,"n.技工,机修工,机械士"
invest,"v.投(资),购买(有用之物)～,授予,投资"
likely,"adj.很可能的,合适的,可靠的,有希望的;adv.或许,很可能"
mechanical,"adj.机械的,机械制的,机械似的,呆板的"
investigate,"v.调查,研究"
likewise,"adv.同样地,照样地,又,也;n.同样地"
mechanism,"n.机械装置,机构,机制"
investment,"n.投资,可获利的东西"
limb,"n.肢,翼,分支"
medal,"n.奖章,勋章,纪念章;v.授予...奖章"
invisible,"adj.看不见的,无形的"
limitation,"n.限制,局限性"
media,n.媒体
invitation,"n.邀请,招待"
limited,"adj.有限的,狭窄的,缺乏创见的;n.高级快车"
medium,"n.媒体,方法,媒介;adj.中间的,中等的,半生熟的"
involve,"vt.包括,笼罩,潜心于,使陷于"
link,"n.链环,连结物,火把,链接;vt.连结,联合,挽;vi.连接起来"
melt,"v.(使)融化,(使)熔化,使软化,使感动"
inward,"adv.向内,在内;adj.向内的,内在的"
liquid,"n.液体,流体,流音;adj.液体的,清澈的,透明的,明亮的,流动的,易变的,(财务)易变卖的"
membership,"n.成员资格,成员人数"
isolate,"vt.使隔离,使孤立,使绝缘,离析;n.隔离种群"
liquor,"n.液体,汁，酒精饮料,[药]溶液;vt.浸水;vi.喝酒"
memorial,"n.纪念物,纪念馆,纪念议事,请愿书;adj.记念的,记忆的"
issue,"n.出版,发行,(报刊等)期号,论点,问题,结果,(水,血)流出;vi.发行,流出,造成...结果,进行辩护,传下;vt.使流出,发行(钞票等),发布(令),出版(书);[律]子女,后嗣"
liter,n.公升
mental,"adj.精神的,智力的"
item,"n.(可分类或列举的)项目,条款,(消息、情报等的)一则,一条"
literary,"adj.文学(上)的,从事写作的,文艺的,精通文学的,书本的"
mention,"vt.提及,说起;n.提及,说起;v.论及,提及"
jail,n.监狱;vt.监禁
literature,"n.文学(作品),文艺,著作,文献"
menu,n.菜单
jar,"n.震动,刺耳声,震惊,争吵,罐,广口瓶;vi.震惊,冲突,发刺耳声,不一致;vt.震动,刺激"
liver,n.居住者，生活优裕的人，肝脏
merchant,"n.商人,批发商,贸易商,店主;adj.商业的,商人的"
jaw,"n.[解]颚,颌,下巴(用复数),(山谷、海峡等的)狭窄的入口,[机]叉钳,钳夹;v.闲谈,教训,唠叨"
living-room,"n.客厅,起居室"
mercy,"n.仁慈,宽恕,怜悯"
jazz,"n.(20世纪产生于美国一种舞曲性音乐)爵士乐,喧闹;adj.爵士乐的,喧吵的,颜色过于艳丽的;vi.奏爵士乐,跳爵士舞,游荡;vt.奏爵士乐,使活泼"
loaf,"n.一条面包,块,游荡;v.游荡,虚度光阴"
mere,"adj.仅仅的,起码的,纯粹的"
jealous,"adj.妒忌的,猜疑的,警惕的,嫉妒的"
loan,"n.（借出的）贷款,借出;v.借,借给"
merely,"adv.仅仅,只,不过"
jeans,"n.斜纹布裤,牛仔裤"
lobby,"n.大厅,休息室,<美>游说议员者;vi.游说议员,经常出入休息室;vt.对(议员)进行疏通"
merit,"n.优点,价值;v.有益于"
jet,"n.喷射,黑玉;v.喷射;adj.黑玉色的,墨黑的;喷气机"
local,"adj.地方的,当地的,局部的,乡土的;n.当地居民,本地新闻,慢车,局部"
merry,"adj.欢乐的,愉快的"
jewel,n.宝石
locate,"vt.查找...的地点,使...坐落于,位于;v.定位,位于"
mess,"n.混乱,脏乱;v.弄乱"
joint,"n.接缝,接合处,接合点,关节,(牛羊等腿)大块肉;adj.共同的,联合的,连接的,合办的;vt.连接,接合,使有接头;vi.贴合,生节"
location,"n.位置,场所,特定区域，<美>[电影]外景拍摄场地"
metric,"adj.米制的,公制的"
journal,"n.定期刊物,杂志,航海日记,分类账"
lodge,"n.门房,(猎人住)山林小屋,(游览区)旅馆,(地方社团)集会处;vi.临时住宿,寄宿(某人家);vt.容纳,寄存,把...射入,存放,(向有关当局)提出(声明)"
microphone,"n.扩音器,麦克风"
journalist,"n.新闻记者,从事新闻杂志业的人"
log,"n.航行日志,原木,园形木材,园木;v.把...记入航行日志,伐木,把...锯成段"
microscope,n.显微镜
journey,"n.旅行,旅程;v.旅行"
logic,"n.逻辑,逻辑学,逻辑性"
mild,"adj.温和的,温柔的,淡味的,轻微的,适度的,不含有害物质的的"
judgement,"n.审判,判决,判断力,意见,看法,评价"
logical,"adj.合乎逻辑的,合理的"
military,"adj.军事的,军用的"
jungle,"n.丛林,生死关头"
loop,"n.环,线(绳)圈,弯曲部分,回路,回线,(铁路)让车道,(飞机)翻圈飞行;vt.使成环,以圈结,以环连结;vi.打环,翻筋斗;n.循环"
mill,"n.压榨机,磨坊,磨粉机,工厂,制造厂;vt.碾磨,磨细,搅拌,使乱转,打;vi.乱转,被碾磨"
junior,"n.年少者,晚辈,下级,(年龄、职位等)较低者,大学三年级学生;adj.年少的,下级的,后进的"
loose,"n.解放,放任,放纵;adj.宽松的,不精确的,不牢固的,散漫的,自由的;vt.释放,放枪,开船;vi.变松,开火;adv.松散地"
millimetre,n.毫米
jury,"n.[律]陪审团,评判委员会,陪审员;adj.[海]临时应急的"
loosen,"v.解开,放松,松开"
mineral,"n.矿物,矿石"
justice,"n.正义,正当,公平,正确,司法,审判,欣赏"
lord,"n.封建领主,地主,统治者,[宗]上帝;vi.称王称霸,作威作福;vt.使成贵族"
minimum,"adj.最小的,最低的;n.最小值,最小化"
justify,v.证明...是正当的
lorry,"n.<古>卡车,铁路货车"
minister,"n.部长,大臣"
keen,"adj.锋利的,敏锐的,敏捷的,热心的,渴望的"
lover,"n.爱人,爱好者,情人"
ministry,n.(政府的)部门
minor,"n.未成年人,副修科目;adj.较小的,次要的,二流的,未成年的;vi.辅修;n.[乐]小调,小音阶"
numerous,"adj.众多的,许多的,无数的"
painful,"adj.疼痛的,使痛苦的"
minority,"n.少数,少数民族"
nursery,n.托儿所
painter,"n.画家,油漆匠"
minus,"adj.负的,减的;prep.减去;n.负数"
nylon,n.尼龙
palm,"n.手掌,棕榈,(象征胜利的)棕榈叶;vt.与...握手,藏...于掌中,蒙混"
miracle,"n.奇迹,奇事"
obey,"v.服从,顺从"
panel,"n.面板,嵌板,仪表板,座谈小组,全体陪审员;vt.嵌镶板"
miserable,"adj.痛苦的,悲惨的,可怜"
object,"n.物体,目标,宾语,对象;vi.反对,拒绝,抗议;vt.提出...来反对"
panic,"n.惊慌,恐慌,没有理由的"
mislead,vt.误导
objection,"n.异议,缺陷,妨碍,拒绝之理由"
pants,"n.裤子,短裤"
missile,"n.导弹,发射物"
objective,"n.目标,目的,(显微镜的)(接)物镜,[语法]宾格;adj.客观的,[语法]宾格的"
parade,"n.游行,炫耀,阅兵,检阅,阅兵场;v.游行,炫耀,夸耀,(使)列队行进"
missing,"adj.不见的,缺少的"
obligation,"n.义务,职责,债务"
paragraph,"n.(文章)段,节,段落"
mission,"n.使命,任务,使团,代表团"
oblige,"vt.迫使,责成"
parallel,"adj.平行的,相同的,类似的,并联的;n.平行线,平行面,类似,相似物;v.相应,平行"
mist,n.薄雾
observation,"n.观察,观测,观察资料(或报告)"
parcel,"n.小包,包裹;vt.打包,捆扎"
misunderstand,"vt.误解,误会"
observe,"vt.观察,观测,遵守,评述,说"
parliament,"n.国会,议会"
mixture,"n.混合,混合物,混合剂"
observer,"n.观测者,观察员,遵守者"
partial,"adj.部分的,局部的,偏袒的,偏爱的;n.泛音"
mobile,"adj.可移动的,易变的,机动的;n.运动物体"
obstacle,"n.障碍,妨害物"
participate,"vi.参与,参加,分享,分担"
moderate,"adj.中等的,适度的,适中的;v.缓和"
obtain,"vt.获得,得到"
particle,"n.粒子,点,极小量,微粒,质点,小品词,语气"
modest,"adj.谦虚的,谦让的,适度的"
obvious,"adj.明显的,显而易见的"
particularly,"adv.独特地,显著地"
modify,"vt.更改,修改;v.修改"
occasion,"n.场合,时机,机会"
partner,"n.合伙人,股东,舞伴,伴侣;vt.与...合伙,组成一对;vi.做伙伴,当助手"
moist,adj.潮湿的;n.潮湿
occasional,"adj.偶然的,非经常的,特殊场合的,临时的"
passion,"n.激情,热情"
moisture,"n.潮湿,湿气"
occupation,"n.职业,占有,占有(房屋等)期间"
passive,adj.被动的
mold,"n.模子,铸型;vt.浇铸,塑造"
occupy,"vt.占,占用,占领,占据"
passport,n.护照
